year,semester,course_code,user_code,score,week,user_visit_count_exam,user_visit_count_forum,user_visit_count_material,user_visit_count_online_video,user_visit_count_page,user_visit_sum_exam,user_visit_sum_forum,user_visit_sum_material,user_visit_sum_online_video,user_visit_sum_page,material_count,material_count_dividedby_count,discussion_create,discussion_like,discussion_read,discussion_create_dividedby_count,discussion_like_dividedby_count,discussion_read_dividedby_count,weblink_count,online_video_total_count,online_video_total_time,online_video_total_time_by_VideoCount,online_video_total_time_by_VideoLength,online_video_real_time,online_video_real_time_by_VideoCount,online_video_real_time_by_VideoLength,online_video_unique_count,online_video_unique_count_by_VideoCount,online_video_count_by_day_type_morning,online_video_count_by_day_type_night,online_video_count_by_day_type_noon,online_video_time_by_day_type_morning,online_video_time_by_day_type_night,online_video_time_by_day_type_noon,online_video_count_by_holiday_type_holiday,online_video_count_by_holiday_type_workday,online_video_time_by_holiday_type_holiday,online_video_time_by_holiday_type_workday,user_visit_count_homework,user_visit_sum_homework,user_visit_count_chatroom,user_visit_count_web_link,user_visit_sum_chatroom,user_visit_sum_web_link,weblink_count_dividedby_count,user_visit_count_interaction,user_visit_sum_interaction,user_visit_count_slide,user_visit_sum_slide,user_visit_count_questionnaire,user_visit_sum_questionnaire,group
107,2,7162,B10542068,72.2,8,72.0,165.0,7.0,12.0,0.0,1977.0,5475.0,93.0,535.0,0.0,2.0,0.1333333333333333,0.0,102.0,658.0,0.0,5.666666666666667,36.55555555555556,0.0,22.0,1076.0,17.35483870967742,0.0394128580097725,480.0,7.741935483870968,0.0175819440935787,7.0,0.1129032258064515,0.0,0.0,22.0,0.0,0.0,1076.0,4.0,18.0,424.0,652.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,2,7162,B10615007,68.4,8,47.0,29.0,8.0,18.0,0.0,2489.0,3038.0,988.0,2666.0,0.0,3.0,0.2,0.0,106.0,117.0,0.0,5.888888888888889,6.5,0.0,36.0,3607.0,58.17741935483871,0.1321209840532057,1740.0,28.06451612903226,0.0637345473392231,12.0,0.193548387096774,13.0,0.0,23.0,1049.0,0.0,2558.0,7.0,29.0,823.0,2784.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10615016,55.1,8,25.0,2.0,7.0,17.0,4.0,3817.0,238.0,8962.0,8576.0,3270.0,7.0,0.4666666666666666,0.0,13.0,0.0,0.0,0.7222222222222222,0.0,0.0,98.0,2192.0,35.354838709677416,0.0802908780273433,1380.0,22.258064516129032,0.0505480892690391,9.0,0.1451612903225806,0.0,0.0,98.0,0.0,0.0,2192.0,0.0,98.0,0.0,2192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10615027,78.7,8,57.0,76.0,10.0,78.0,3.0,743.0,7085.0,7103.0,19616.0,148.0,4.0,0.2666666666666666,0.0,0.0,764.0,0.0,0.0,42.44444444444444,0.0,152.0,16770.0,270.48387096774195,0.6142691717694106,6840.0,110.32258064516128,0.2505427033334983,33.0,0.532258064516129,93.0,0.0,59.0,10056.0,0.0,6714.0,77.0,75.0,8358.0,8412.0,4.0,62.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10615033,79.1,8,59.0,26.0,9.0,42.0,3.0,5343.0,5945.0,1423.0,22401.0,190.0,9.0,0.6,0.0,0.0,11.0,0.0,0.0,0.6111111111111112,0.0,130.0,13629.0,219.8225806451613,0.4992173251070541,5700.0,91.93548387096776,0.2087855861112486,35.0,0.564516129032258,44.0,0.0,86.0,3083.0,0.0,10546.0,27.0,103.0,2929.0,10700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,validation
107,2,7162,B10615038,5.4,8,8.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10615041,1.4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,2,7162,B10615042,76.1,8,81.0,35.0,14.0,61.0,0.0,3768.0,5248.0,672.0,19034.0,0.0,11.0,0.7333333333333334,0.0,151.0,461.0,0.0,8.38888888888889,25.61111111111111,0.0,165.0,10227.0,164.95161290322582,0.3746052963438141,4620.0,74.51612903225806,0.169226211900696,29.0,0.4677419354838709,0.0,0.0,165.0,0.0,0.0,10227.0,0.0,165.0,0.0,10227.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10615045,87.4,8,79.0,75.0,16.0,47.0,0.0,4848.0,24752.0,1013.0,18372.0,0.0,7.0,0.4666666666666666,0.0,71.0,737.0,0.0,3.944444444444444,40.94444444444444,3.0,102.0,14451.0,233.08064516129036,0.5293264043673078,4560.0,73.54838709677419,0.1670284688889987,37.0,0.5967741935483871,3.0,30.0,69.0,213.0,4878.0,9360.0,61.0,41.0,7513.0,6938.0,12.0,610.0,0.0,3.0,0.0,635.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,training
107,2,7162,B10615046,1.4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
