year,semester,course_code,user_code,score,week,user_visit_count_chatroom,user_visit_count_forum,user_visit_count_material,user_visit_sum_chatroom,user_visit_sum_forum,user_visit_sum_material,material_count,material_count_dividedby_count,discussion_create,discussion_like,discussion_read,discussion_create_dividedby_count,discussion_like_dividedby_count,discussion_read_dividedby_count,weblink_count,online_video_total_count,online_video_total_time,online_video_total_time_by_VideoCount,online_video_total_time_by_VideoLength,online_video_real_time,online_video_real_time_by_VideoCount,online_video_real_time_by_VideoLength,online_video_unique_count,online_video_unique_count_by_VideoCount,user_visit_count_exam,user_visit_count_homework,user_visit_count_interaction,user_visit_count_online_video,user_visit_count_page,user_visit_sum_exam,user_visit_sum_homework,user_visit_sum_interaction,user_visit_sum_online_video,user_visit_sum_page,online_video_count_by_day_type_morning,online_video_count_by_day_type_night,online_video_count_by_day_type_noon,online_video_time_by_day_type_morning,online_video_time_by_day_type_night,online_video_time_by_day_type_noon,online_video_count_by_holiday_type_holiday,online_video_count_by_holiday_type_workday,online_video_time_by_holiday_type_holiday,online_video_time_by_holiday_type_workday,user_visit_count_virtual_classroom,user_visit_sum_virtual_classroom,user_visit_count_web_link,user_visit_sum_web_link,weblink_count_dividedby_count,user_visit_count_zoom,user_visit_sum_zoom,group
107,1,8861,B10400027,96.7,4,0.0,52.0,0.0,0.0,2477.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,53.400000000000006,0.0,10.0,1124.0,16.529411764705884,0.017465422813646,540.0,7.9411764705882355,0.0083908614941004,6.0,0.088235294117647,39.0,4.0,2.0,10.0,16.0,731.0,1795.0,9.0,700.0,3814.0,3.0,0.0,7.0,167.0,0.0,957.0,3.0,7.0,572.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10400039,79.5,4,2.0,45.0,3.0,13.0,1006.0,32.0,2.0,0.1666666666666666,0.0,0.0,245.0,0.0,0.0,24.5,0.0,4.0,269.0,3.9558823529411766,0.0041798921146536,240.0,3.5294117647058822,0.0037292717751556,3.0,0.0441176470588234,7.0,14.0,0.0,8.0,0.0,61.0,475.0,0.0,172.0,0.0,2.0,0.0,2.0,113.0,0.0,156.0,2.0,2.0,156.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10400049,62.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10400081,74.8,4,0.0,9.0,0.0,0.0,1983.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.8,0.0,8.0,616.0,9.058823529411764,0.009571797556233,420.0,6.1764705882352935,0.0065262256065225,5.0,0.0735294117647058,8.0,7.0,1.0,11.0,9.0,1294.0,3683.0,1347.0,974.0,4915.0,1.0,0.0,7.0,54.0,0.0,562.0,0.0,8.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10400085,47.6,4,0.0,42.0,0.0,0.0,251.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10411006,95.7,4,6.0,50.0,4.0,44.0,2467.0,27.0,2.0,0.1666666666666666,13.0,0.0,28.0,1.3,0.0,2.8,0.0,50.0,3858.0,56.73529411764706,0.0599480437856284,1620.0,23.823529411764707,0.0251725844823012,8.0,0.1176470588235293,43.0,5.0,4.0,13.0,10.0,6320.0,1333.0,1045.0,9607.0,2270.0,50.0,0.0,0.0,3858.0,0.0,0.0,0.0,50.0,0.0,3858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411058,85.6,4,1.0,114.0,3.0,1.0,19975.0,23.0,1.0,0.0833333333333333,0.0,3.0,48.0,0.0,0.3,4.8,0.0,63.0,4303.0,63.27941176470589,0.0668627352020631,2520.0,37.05882352941177,0.0391573536391351,11.0,0.1617647058823527,23.0,8.0,3.0,22.0,22.0,2813.0,2260.0,2904.0,6572.0,7235.0,11.0,9.0,43.0,961.0,558.0,2784.0,0.0,63.0,0.0,4303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
107,1,8861,B10411061,62.6,4,4.0,40.0,0.0,35.0,5559.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.9,0.0,34.0,4677.0,68.77941176470588,0.0726741837183474,1980.0,29.11764705882353,0.0307664921450347,12.0,0.176470588235294,22.0,7.0,4.0,23.0,20.0,2486.0,3009.0,610.0,2921.0,7017.0,14.0,0.0,20.0,1301.0,0.0,3376.0,0.0,34.0,0.0,4677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411108,67.5,4,2.0,54.0,0.0,7.0,4575.0,0.0,0.0,0.0,0.0,0.0,797.0,0.0,0.0,79.69999999999999,0.0,3.0,437.0,6.426470588235294,0.0067903823572626,180.0,2.647058823529412,0.0027969538313667,3.0,0.0441176470588234,16.0,18.0,0.0,17.0,0.0,53.0,70.0,0.0,723.0,0.0,1.0,0.0,2.0,47.0,0.0,390.0,0.0,3.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,training
107,1,8861,B10411111,64.3,4,2.0,64.0,5.0,8.0,1022.0,24.0,1.0,0.0833333333333333,0.0,0.0,1055.0,0.0,0.0,105.5,0.0,7.0,519.0,7.632352941176472,0.0080645502137742,360.0,5.294117647058824,0.0055939076627335,4.0,0.0588235294117645,27.0,8.0,6.0,32.0,0.0,80.0,15.0,1769.0,1966.0,0.0,2.0,0.0,5.0,252.0,0.0,267.0,0.0,7.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,testing
